Date,Tweets,Preprocessing
2020-06-21 19:37:37,"@A_denny15 eh yg bener? banyak yg ngetwit, stay safe yaaaa", denny15 eh yg bener banyak yg ngetwit stay safe yaaaa
2020-06-21 19:37:37,RT @ayamgeqrek: “kamu galau terus kenapa sih?” https://t.co/MMh6BTKfV8, kamu galau terus kenapa sih 
2020-06-21 19:37:37,RT @JogjaUpdate: gempa, gempa
2020-06-21 19:37:37,"@Unitrevoso_lol Dinah Jane 
A", lol dinah jane a
2020-06-21 19:37:37,astagfirullah,astagfirullah
2020-06-21 19:37:37,RT @BamBam1A: @seungmintop ...................hi boss,1a hi boss
2020-06-21 19:37:37,@habib_ruzaqq hahaha sesekali, ruzaqq hahaha sesekali
2020-06-21 19:37:37,astagfirullahaladzim gempa,astagfirullahaladzim gempa
2020-06-21 19:37:37,@JogjaUpdate Kroso Barter Daerah Godean., kroso barter daerah godean 
2020-06-21 19:37:37,gede juga weh ini,gede juga weh ini
2020-06-21 19:37:37,Astagfirrullah..kerasa bgt gempa,astagfirrullah kerasa bgt gempa
2020-06-21 19:37:37,@GamasAndika Engga, engga
2020-06-21 19:37:37,@fluffyna1 ak jogja din...,1 ak jogja din 
2020-06-21 19:37:37,@nochutopia Aku juga krasa, aku juga krasa
2020-06-21 19:37:37,"Tapi hambanya suka lalai dalam menjalankan sholat, suku ngeluh, banyak dosa.",tapi hambanya suka lalai dalam menjalankan sholat suku ngeluh banyak dosa 
2020-06-21 19:37:37,@moodewji Pamoja Sana boss @Mohammed Dewji Mo, pamoja sana boss dewji mo
2020-06-21 19:37:37,RT @sevillaisqueen: LPM KAROL ME STALKEO KQKZKSKSMS https://t.co/wOmn4SPRFm, lpm karol me stalkeo kqkzksksms 
2020-06-21 19:37:37,Kerasa gempa 😥,kerasa gempa 
2020-06-21 19:37:37,"@ljaureguiibaby B
Dinah Jane", b dinah jane
2020-06-21 19:37:37,@hobarihyun Gempa kakk😭😭😭 aku aja pastidur ke goncang, gempa kakk aku aja pastidur ke goncang
2020-06-21 19:37:37,RT @carlasthtc: dora zaman upsr                 dora zaman spm https://t.co/4LUHz0gTkc, dora zaman upsr dora zaman spm 
2020-06-21 19:37:37,gempaaaa 🤯,gempaaaa 
2020-06-21 19:37:37,Habis gempa ya daerah jogja???,habis gempa ya daerah jogja 
2020-06-21 19:37:37,HAJAAKSKDJJFFJG https://t.co/m4ygl6ke85,hajaakskdjjffjg 
2020-06-21 19:37:37,gempa dmn hey,gempa dmn hey
2020-06-21 19:37:37,"@thisisesks Wey aku lagi turu njuk mlayu, kagum aku ro aku dewe", wey aku lagi turu njuk mlayu kagum aku ro aku dewe
2020-06-21 19:37:37,@COWOBETE2 jogjaa kalau aku,2 jogjaa kalau aku
2020-06-21 19:37:37,Gempa. Kaget,gempa kaget
2020-06-21 19:37:37,"@chasanahsrius Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/JgXHsnyMPM", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,@rmysamh İlahi adalet., i lahi adalet 
2020-06-21 19:37:37,"@FaisalZeqlyw @Dwiantono_J Kerasa sampe kebangun :"")", j kerasa sampe kebangun 
2020-06-21 19:37:37,"Kaget bgt barusan gempaa, cuma bentar tapi bener bener kerasa",kaget bgt barusan gempaa cuma bentar tapi bener bener kerasa
2020-06-21 19:37:37,"@DeeyaaSteele Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/LjLube4zpd", halo saya bencana bot untuk melaporkan banjir di sekitarmu silakan balas dengan banjir 
2020-06-21 19:37:37,@Diajeng_budi Tekan kene ki, budi tekan kene ki
2020-06-21 19:37:37,@kajvlv Iyakkk, iyakkk
2020-06-21 19:37:37,RT @Xavismo05: Bomboclaat https://t.co/IYXOOcUxCn,05 bomboclaat 
2020-06-21 19:37:37,@hamidahdesti23_ @JogjaUpdate njuk kepikiran tweetmu:(,23 njuk kepikiran tweetmu 
2020-06-21 19:37:37,@subtanyarl lelakiku menuju gondrong https://t.co/7lZlOO6h62, lelakiku menuju gondrong 
2020-06-21 19:37:37,Gempa 22/06/2020 ± 02:36,gempa 22 06 2020 02 36
2020-06-21 19:37:37,"@ariffute Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/a2CfatuFaM", halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,Kosong dan hampa hati ini tanpa dirimu.. Yang kurasa hanya sakit karena luka.,kosong dan hampa hati ini tanpa dirimu yang kurasa hanya sakit karena luka 
2020-06-21 19:37:37,@raniyeaay Pusatnya mana ya?, pusatnya mana ya 
2020-06-21 19:37:37,"@Dika_Setiawannn Halo, saya Bencana Bot. Untuk melaporkan dampak gempa di sekitarmu, silakan balas dengan #gempa https://t.co/91roVYmbVE", setiawannn halo saya bencana bot untuk melaporkan dampak gempa di sekitarmu silakan balas dengan gempa 
2020-06-21 19:37:37,@Atasawan_ Kenceng bgt sumpa Ampe kebangun, kenceng bgt sumpa ampe kebangun
2020-06-21 19:37:37,@leidynbernardez salu2 https://t.co/iFeH1yZVas, salu2 
2020-06-21 19:37:37,sampe kaget kenceng bgt 😭 https://t.co/temRRrd7cK,sampe kaget kenceng bgt 
2020-06-21 19:37:37,@jetlaght Bener... Aku juga kerasa..., bener aku juga kerasa 
2020-06-21 19:37:37,dah aku maw bobo dulu,dah aku maw bobo dulu
2020-06-21 19:37:37,masih merinding abis gempa kenceng bgt,masih merinding abis gempa kenceng bgt
2020-06-21 19:37:37,Aku kira getaran cintaku yang tak terbalaskan olehnya ternyata getaran bumi,aku kira getaran cintaku yang tak terbalaskan olehnya ternyata getaran bumi
2020-06-21 19:37:37,@AnnesGotClass @DrKidNurse @DolnickSonja @HeyWeGotThis @ProjectLincoln Ok Karen, ok karen
2020-06-21 19:37:37,RT @iamKachuiJr: Aisee ukiona mke wako anaomba ushauri wa ndoa kwa feminist peleka LockUp kama wiki hivi....Feminist ni mafala sana🚮🚮🚮🚮🚮, aisee ukiona mke wako anaomba ushauri wa ndoa kwa feminist peleka lockup kama wiki hivi feminist ni mafala sana 
2020-06-21 19:37:37,RT @JavanoaA: Wong mbokyo koyo duren...ojo koyo emplok...emplok ki bahaya 🤣😅😂🤘😅😂🤣 https://t.co/z7XrwJBGVE, wong mbokyo koyo duren ojo koyo emplok emplok ki bahaya 
2020-06-21 19:37:37,@nksthi Tekan sukoharjo bes, tekan sukoharjo bes
2020-06-21 19:37:37,@heejinyk hah keras gak, hah keras gak
2020-06-21 19:37:37,@adhiiswww Kenceng bangettt 😭, kenceng bangettt 
2020-06-21 19:37:37,@sicewemaniss Terus?, terus 
2020-06-21 19:37:37,RT @BerandaJogja: 02:34 Gempa, 02 34 gempa
2020-06-21 19:37:37,"RT @ketekcowo1: #26
Bottom asal 0274 

Digilir 8 orang karena plin-plan https://t.co/lMlBImQmIS",1 26 bottom asal 0274 digilir 8 orang karena plin plan 
2020-06-21 19:37:37,Gempa,gempa
2020-06-21 19:37:37,@AsaNW_ Asa mesti, asa mesti
2020-06-21 19:37:37,@Camila_LCN Dinah Jane, lcn dinah jane
2020-06-21 19:37:37,Teknik shooting yg efektif dalam permainan futsal adalah menendang bola dgn menggunakan ujung kaki/sepatu.,teknik shooting yg efektif dalam permainan futsal adalah menendang bola dgn menggunakan ujung kaki sepatu 
2020-06-21 19:37:37,@Golden_Damush hey maami!!, damush hey maami 
2020-06-21 19:37:37,p for plis lucu banget:( https://t.co/2VqUUitYV5,p for plis lucu banget 
2020-06-21 19:37:37,"RT @tkdnxv: Semua bersurai, cikb menang", semua bersurai cikb menang
2020-06-21 19:37:37,"cari jasa upfoll full rp murah dan terpercaya?coba cek pinned liat pricelistnya kali aja cocok 

buka slot setiap hari kecuali keadaan mendesak",cari jasa upfoll full rp murah dan terpercaya coba cek pinned liat pricelistnya kali aja cocok buka slot setiap hari kecuali keadaan mendesak
2020-06-21 19:37:37,RT @kabarklaten: gempaaa, gempaaa
