Date,Tweets
2020-06-21 19:37:36,Gempa woy
2020-06-21 19:37:36,Baru bangun; kaget. Gempa dong :)
2020-06-21 19:37:36,@dyoisbae Sama hyung
2020-06-21 19:37:36,@area_jogja Gedeee ya min berasa bgt
2020-06-21 19:37:36,RT @thaiifess: [thaitea] ada salam dari Harit https://t.co/zhGAfpXsIl
2020-06-21 19:37:36,🤣🤣🤣 ga goal ya Allah kok bisa
2020-06-21 19:37:36,"RT @P3nj3l4j4h_id: Opini lu dangkal bgt njirr😂

Selama ada orang goblok seperti elisa ini gp2 kita goblok, gitu logikanya kali yaa😂 https:/…"
2020-06-21 19:37:36,@infoBMKG gempa min sewon bantul jogja
2020-06-21 19:37:36,"Mata gue masi asing :"" tp mulai skrg jg bakal lihat bgini :"" https://t.co/ssTWcAPg6r"
2020-06-21 19:37:36,"@desthynur_15 Halo, saya Bencana Bot. Untuk melaporkan banjir di sekitarmu, silakan balas dengan #banjir. https://t.co/zh9sTs8Jb0"
2020-06-21 19:37:36,"Kebahagiaan itu tidak mahal. Kebahagiaan bukanlah sesuatu untuk dibeli, namun sesuatu untuk dirasakan."
2020-06-21 19:37:36,@siiplahoke dmn tuh
2020-06-21 19:37:36,RT @Official_Arnab_: @RahulGandhi Surrender hota hai Bsdk 🤣🤣
2020-06-21 19:37:36,"@maksengkrang engga, aman merapi. yang tadi pagi aja ga kerasa gini di tempatku"
2020-06-21 19:37:36,@faisoldash 😂😄wamma i gat u..
2020-06-21 19:37:36,"Youtubean nonton KTJ, tak kiro kasur e di obahke demit,  eh jebul Gempa."
2020-06-21 19:37:36,@dityatpe @yanu_sojo Nutuk saiki ra telat to
2020-06-21 19:37:36,@subtanyarl nggak
2020-06-21 19:37:36,Mak tratap.
2020-06-21 19:37:36,RT @crafynn: Hahahahah Jihyo salah sebut I love Malaysia dekat Hongkong fan meeting  😂😂 https://t.co/CdKXUtM8CZ
2020-06-21 19:37:36,KALO JOGJA GEMPA SERPONG KENA GASI ANJING TAKUT GBLOK
2020-06-21 19:37:36,Gaada info gempa kah?🥺
2020-06-21 19:37:36,2137 Kamil
2020-06-21 19:37:36,Gempa lumayan sui yo
